excerpt,target_classification
"Research Consultant: Disability Access
**Role Summary/Purpose:** The Research Consultant will collect and analyze data related to the accessibility of the health system of northwest Syria, and will draft thematic advocacy materials, including an analysis report detailing the state of accessibility for people with disabilities accessing health services. The report will include recommendations on how to improve the accessibility of health services in northwest Syria, which will be developed in coordination with SAMS’ Programs team. **Key Responsibilities:** Under the supervision of SAMS Advocacy Manager, and in close collaboration with the advocacy department and programs department in the US, Syria, and Turkey, the Research Consultant will perform the following: ***Activity 01: Literature Review of Disability in Syria*** - In order to contextualize the report, it will be necessary to conduct a literature review of existing research on disability and accessibility in Syria, including but not limited to prevalence data and previous analyses on specialized services available for PWD. ***Activity 02: Conduct Primary Research*** - Primary research for this product should include evaluations of health facilities (physical accessibility, presence of accommodations, staff knowledge, etc.), as well as key informant interviews and focus group discussions with people with disabilities and experts in relevant fields (disability specialists, technical experts in MHPSS and Protection, facility managers, etc.) Some of these interviews could be utilized in advocacy products as well (with the proper informed consents from the participants.) ***Activity 03: Write a detailed report using collected information on accessibility and testimonies from medical staff.*** - Analysis and interviews conducted in this first phase will provide a basis for the report and its subsequent recommendations. Such a report should also include the previously mentioned literature review. The report will be utilized and shared with NGO partners in the health sector to inform programmatic decisions, and would also support SAMS advocacy efforts related to this topic. **Qualifications/Requirements:** - Advanced university degree in disability studies, data analysis, public health, or related field; - Proven ability to produce policy documents, papers, reports, and analysis - Excellent knowledge of the context in Syria; specialized knowledge of the health system or disability in the Syrian context a plus. - At least 4 years experience in the above-mentioned fields; - As all products will be produced in English, professional fluency in English and Arabic, both oral and written; - Proficiency and prior experience with quantitative and qualitative research methodologies and data visualization; - Ability and willingness to work with people of different cultural backgrounds from the Syrian social fabric; - Experience and training in conducting research with vulnerable populations - Demonstrated gender awareness and sensitivity, as well as the ability to integrate a gender perspective into tasks and activities. - Ability to travel internationally a plus","[""Health""]"
"Contratación de un Coordinador(a) de Logística y Comunicación para el desarrollo de los foros de productos Banano y Cacao en República Dominicana 2022
**Contexto de la consultoría** [https://www.linkedin.com/feed/update/urn:li:activity:6943266670794723329](https://www.linkedin.com/feed/update/urn:li:activity:6943266670794723329) La Coordinadora Latinoamericana y del Caribe de Pequeños(as) Productores(as) y Trabajadores(as) de Comercio Justo (CLAC), tiene como una de sus intervenciones más importantes la promoción del acceso a mercados de su membresía. En ese sentido, se realizarán Foros Internacionales para facilitar la interacción entre organizaciones y compradores de banano y cacao Fairtrade. **Objetivo de la consultoría** Organizar, supervisar, coordinar y promover el proceso de planificación y ejecución de los Foros Internacionales de los productos Banano y Cacao de la Coordinadora Latinoamericana y del Caribe de Pequeños(as) Productores(as) y Trabajadores(as) de Comercio Justo (CLAC) a realizarse en República Dominicana en el mes de noviembre 2022. En este sentido se especifican los eventos específicos de los que el Consultor(a) estaría encargado: - Foro de banano para 200 personas de dos días de duración. - Encuentro de la Red de Banano de CLAC para 30 personas (al día siguiente del Foro de banano). - Foro de cacao para 100 personas de dos días de duración. - Encuentro de la Red de Cacao de CLAC para 30 personas (al día siguiente del Foro de cacao). Todos los eventos descritos deberán realizarse durante 7 días continuos entre la segunda y cuarta semana del mes de noviembre del 2022. **Productos esperados** Para el cumplimiento de los objetivos se requiere el cumplimiento de los siguientes productos: **Previos al evento** 1. Presentación de propuesta de plan de trabajo y diseño del evento según las necesidades e indicaciones brindadas por parte del equipo de CLAC y las políticas internas de la institución, empezando con la presentación de lugares en el que podrían desarrollarse los foros 2. Presentación y selección en conjunto con el equipo de trabajo de los lugares para la alimentación, medios de transporte para invitados y proveedores de servicios que se requieran para el óptimo desarrollo del evento. 3. Elaboración detallada y manejo de agenda y cronograma para los foros. 4. Responsable de coordinar las invitaciones, elaborar un Paquete informativo con datos de interés para los participantes y confirmar la asistencia de las personas que participarán en los foros. 5. Manejar la lista de participantes y coordinar hospedaje, alimentación y desplazamiento hacia el lugar del evento tanto para llegadas como para regresos, además de detalles y solicitudes especiales por parte de estos. 6. Desarrollarse como intermediario y coordinador entre proveedores de servicios y el equipo de trabajo de CLAC. 7. Supervisar el correcto montaje de material promocional (p.ej rolls up,banners y otros), distribución de los asistentes, acceso a equipos electrónicos como Wifi, proyectores y computadoras, presentaciones digitales y la llegada de material a ser repartido entre los asistentes (credenciales, bolsos, flyers y otros), lo cual implica la presencia del consultor previo, durante y posterior al evento. 8. Seguimiento a la documentación requerida para los materiales comunicacionales (consentimientos, autorizaciones, etc) **Durante cada uno de los eventos** 1. Supervisión de agenda y programa del evento, lo cual incluye la participación de conferencistas y autoridades y el correcto funcionamiento del material de apoyo como presentaciones en Power Point, videos y audio. 2. Supervisión en el registro y entrega de materiales a los participantes, así como supervisar la ejecución de la cobertura fotográfica u otros servicios que se contratarán a proveedores dispuestos en la planificación y que han sido autorizados por el equipo operativo de CLAC. 3. Coordinación con equipo del hotel en que esté disponible el acceso a Wifi, los coffee – break, almuerzos y demás servicios alimenticios","[""Coordination""]"
"Oficial de Educación (Sucre)
**La oportunidad** Save the Children busca Oficiales de Educación para la respuesta en el área de educación en un proyecto de educación / protección de niños, niñas y adolescentes de zonas vulnerables en el Estado Sucre. Para tener éxito traerás / tendrás: - Educación universitaria finalizada: Licenciatura y/o Maestría en Pedagogía, Magisterio, Psico-pedagogía o carrera afín. - Mínimo 2 años de experiencia en actividades relacionadas con la educación de niñez y adolescencia - Sólidos conocimientos y experiencia en trabajo de educación y enfoque comunitario - Comprensión profunda de las necesidades de educación a nivel nacional y local - Experiencia trabajando con grupos vulnerables y en riesgo en comunidades - Experiencia en Educación y Protección de la Infancia - Conocimientos informáticos: manejo del paquete MS Office avanzado Ofrecemos un paquete competitivo en el sector. **Nuestra Organización:** Empleamos a aproximadamente 25,000 personas en todo el mundo y trabajamos en el terreno en más de 100 países para ayudar a las niñas y niños afectados por crisis, o aquellos que necesitan mejor atención médica, educación y protección infantil. También hacemos campaña y abogamos en los niveles más altos para hacer realidad el derecho de las niñas, niños y asegurar que sus voces sean escuchadas. Estamos trabajando para lograr tres avances en cómo el mundo trata a las niñas y niños para 2030: \* Ningún niño o niña muere por causas prevenibles antes de cumplir 5 años. \* Todas las niñas y niños aprenden una educación básica de calidad y que \* Ya no se tolera la violencia contra niñas y niños. Sabemos que las grandes personas hacen una gran organización y que nuestras/os colegas desempeñan un papel crucial para ayudarnos a lograr nuestras ambiciones para las niñas y niños. Valoramos a nuestra gente y ofrecemos una carrera significativa y gratificante, junto con un lugar de trabajo colaborativo e inclusivo donde la ambición, la creatividad y la integridad son altamente valoradas. **Información para la aplicación:** Por favor, aplique utilizando una carta de presentación y un CV actualizado en un solo documento pdf. Incluya también los detalles de su remuneración actual y las expectativas salariales. Se puede encontrar una copia del perfil de rol completo en [https://www.savethechildren.net/careers/apply](https://www.savethechildren.net/careers/apply) Necesitamos mantener a los niños seguros, de modo que nuestro proceso de selección, que incluye rigurosos controles de antecedentes, reflejando nuestro compromiso con la protección de los niños contra el abuso. Se espera que todas y todos en Save the Children cumplan con sus obligaciones de acuerdo con nuestra política global contra el acoso. **Save the Children no solicita ningún pago de dinero en ninguna etapa del proceso de reclutamiento**","[""Education""]"
"Oficial de Educación (Caracas)
**La oportunidad** Save the Children busca Oficiales de Educación para la respuesta en el área de educación en un proyecto de educación / protección de niños, niñas y adolescentes de zonas vulnerables en Caracas. Para tener éxito traerás / tendrás: - Educación universitaria finalizada: Licenciatura y/o Maestría en Pedagogía, Magisterio, Psico-pedagogía o carrera afín. - Mínimo 2 años de experiencia en actividades relacionadas con la educación de niñez y adolescencia - Sólidos conocimientos y experiencia en trabajo de educación y enfoque comunitario - Comprensión profunda de las necesidades de educación a nivel nacional y local - Experiencia trabajando con grupos vulnerables y en riesgo en comunidades - Experiencia en Educación y Protección de la Infancia - Conocimientos informáticos: manejo del paquete MS Office avanzado Ofrecemos un paquete competitivo en el sector. **Nuestra Organización:** Empleamos a aproximadamente 25,000 personas en todo el mundo y trabajamos en el terreno en más de 100 países para ayudar a las niñas y niños afectados por crisis, o aquellos que necesitan mejor atención médica, educación y protección infantil. También hacemos campaña y abogamos en los niveles más altos para hacer realidad el derecho de las niñas, niños y asegurar que sus voces sean escuchadas. Estamos trabajando para lograr tres avances en cómo el mundo trata a las niñas y niños para 2030: \* Ningún niño o niña muere por causas prevenibles antes de cumplir 5 años. \* Todas las niñas y niños aprenden una educación básica de calidad y que \* Ya no se tolera la violencia contra niñas y niños. Sabemos que las grandes personas hacen una gran organización y que nuestras/os colegas desempeñan un papel crucial para ayudarnos a lograr nuestras ambiciones para las niñas y niños. Valoramos a nuestra gente y ofrecemos una carrera significativa y gratificante, junto con un lugar de trabajo colaborativo e inclusivo donde la ambición, la creatividad y la integridad son altamente valoradas. **Información para la aplicación:** Por favor, aplique utilizando una carta de presentación y un CV actualizado en un solo documento pdf. Incluya también los detalles de su remuneración actual y las expectativas salariales. Se puede encontrar una copia del perfil de rol completo en [https://www.savethechildren.net/careers/apply](https://www.savethechildren.net/careers/apply) Necesitamos mantener a los niños seguros, de modo que nuestro proceso de selección, que incluye rigurosos controles de antecedentes, reflejando nuestro compromiso con la protección de los niños contra el abuso. Se espera que todas y todos en Save the Children cumplan con sus obligaciones de acuerdo con nuestra política global contra el acoso. **Save the Children no solicita ningún pago de dinero en ninguna etapa del proceso de reclutamiento**","[""Education""]"
"Oficial de Educación (Zulia)
**La oportunidad** Save the Children busca Oficiales de Educación para la respuesta en el área de educación en un proyecto de educación / protección de niños, niñas y adolescentes de zonas vulnerables en el estado Zulia. Para tener éxito traerás / tendrás: - Educación universitaria finalizada: Licenciatura y/o Maestría en Pedagogía, Magisterio, Psico-pedagogía o carrera afín. - Mínimo 2 años de experiencia en actividades relacionadas con la educación de niñez y adolescencia - Sólidos conocimientos y experiencia en trabajo de educación y enfoque comunitario - Comprensión profunda de las necesidades de educación a nivel nacional y local - Experiencia trabajando con grupos vulnerables y en riesgo en comunidades - Experiencia en Educación y Protección de la Infancia - Conocimientos informáticos: manejo del paquete MS Office avanzado Ofrecemos un paquete competitivo en el sector. **Nuestra Organización:** Empleamos a aproximadamente 25,000 personas en todo el mundo y trabajamos en el terreno en más de 100 países para ayudar a las niñas y niños afectados por crisis, o aquellos que necesitan mejor atención médica, educación y protección infantil. También hacemos campaña y abogamos en los niveles más altos para hacer realidad el derecho de las niñas, niños y asegurar que sus voces sean escuchadas. Estamos trabajando para lograr tres avances en cómo el mundo trata a las niñas y niños para 2030: \* Ningún niño o niña muere por causas prevenibles antes de cumplir 5 años. \* Todas las niñas y niños aprenden una educación básica de calidad y que \* Ya no se tolera la violencia contra niñas y niños. Sabemos que las grandes personas hacen una gran organización y que nuestras/os colegas desempeñan un papel crucial para ayudarnos a lograr nuestras ambiciones para las niñas y niños. Valoramos a nuestra gente y ofrecemos una carrera significativa y gratificante, junto con un lugar de trabajo colaborativo e inclusivo donde la ambición, la creatividad y la integridad son altamente valoradas. **Información para la aplicación:** Por favor, aplique utilizando una carta de presentación y un CV actualizado en un solo documento pdf. Incluya también los detalles de su remuneración actual y las expectativas salariales. Se puede encontrar una copia del perfil de rol completo en [https://www.savethechildren.net/careers/apply](https://www.savethechildren.net/careers/apply) Necesitamos mantener a los niños seguros, de modo que nuestro proceso de selección, que incluye rigurosos controles de antecedentes, reflejando nuestro compromiso con la protección de los niños contra el abuso. Se espera que todas y todos en Save the Children cumplan con sus obligaciones de acuerdo con nuestra política global contra el acoso. **Save the Children no solicita ningún pago de dinero en ninguna etapa del proceso de reclutamiento**","[""Education""]"
"Asistente de Distribución de Medios de Vida (Sucre)
**La oportunidad** El titular del puesto apoyará en la distribución de kits de alimentos y kits de higiene en comunidades del Estado Sucre. Trabajará de forma estrecha con el equipo para asegurar la planificación de las distribuciones, contacto con proveedores, socios locales y comunidades. Asegurará que el trabajo se haga con total seguridad y seguimiento de las condiciones Covid, así como con precisión en cuanto a verificación de beneficiarios y proceso de distribución. Para tener éxito traerás / tendrás: - *Estudios profesionales y/o experiencia demostrable en Cooperación Internacional, Ayuda Humanitaria, Ciencias Sociales/Políticas y/o afines* - *Capacidades de coordinación inter-institucional e inter-agencial (diplomacia)* - *Habilidad demostrada en distribuciones de kits de alimentos, kits de higiene, etc.* - *2 años de experiencias previas de trabajo con organizaciones de cooperación y/o ayuda humanitaria* - *Manejo de herramientas informáticas (sistema operativo Microsoft Windows) y ofimáticas (Microsoft Office: Word, Excel, PowerPoint, Outlook).* Ofrecemos un paquete competitivo en el sector. **Nuestra Organización:** Empleamos a aproximadamente 25,000 personas en todo el mundo y trabajamos en el terreno en más de 100 países para ayudar a las niñas y niños afectados por crisis, o aquellos que necesitan mejor atención médica, educación y protección infantil. También hacemos campaña y abogamos en los niveles más altos para hacer realidad el derecho de las niñas, niños y asegurar que sus voces sean escuchadas. Estamos trabajando para lograr tres avances en cómo el mundo trata a las niñas y niños para 2030: \* Ningún niño o niña muere por causas prevenibles antes de cumplir 5 años. \* Todas las niñas y niños aprenden una educación básica de calidad y que \* Ya no se tolera la violencia contra niñas y niños. Sabemos que las grandes personas hacen una gran organización y que nuestras/os colegas desempeñan un papel crucial para ayudarnos a lograr nuestras ambiciones para las niñas y niños. Valoramos a nuestra gente y ofrecemos una carrera significativa y gratificante, junto con un lugar de trabajo colaborativo e inclusivo donde la ambición, la creatividad y la integridad son altamente valoradas. **Información para la aplicación:** Por favor, aplique utilizando una carta de presentación y un CV actualizado en un solo documento pdf. Incluya también los detalles de su remuneración actual y las expectativas salariales. Se puede encontrar una copia del perfil de rol completo en [https://www.savethechildren.net/careers/apply](https://www.savethechildren.net/careers/apply) Necesitamos mantener a los niños seguros, de modo que nuestro proceso de selección, que incluye rigurosos controles de antecedentes, reflejando nuestro compromiso con la protección de los niños contra el abuso. Se espera que todas y todos en Save the Children cumplan con sus obligaciones de acuerdo con nuestra política global contra el acoso. **Save the Children no solicita ningún pago de dinero en ninguna etapa del proceso de reclutamiento**","[""Coordination""]"
"Asistente de Distribución de Medios de Vida (Anzoátegui)
**La oportunidad** El titular del puesto apoyará en la distribución de kits de alimentos y kits de higiene en comunidades del Estado de Anzoátegui. Trabajará de forma estrecha con el equipo para asegurar la planificación de las distribuciones, contacto con proveedores, socios locales y comunidades. Asegurará que el trabajo se haga con total seguridad y seguimiento de las condiciones Covid, así como con precisión en cuanto a verificación de beneficiarios y proceso de distribución. Para tener éxito traerás / tendrás: - *Estudios profesionales y/o experiencia demostrable en Cooperación Internacional, Ayuda Humanitaria, Ciencias Sociales/Políticas y/o afines* - *Capacidades de coordinación inter-institucional e inter-agencial (diplomacia)* - *Habilidad demostrada en distribuciones de kits de alimentos, kits de higiene, etc.* - *1-2 años de experiencias previas de trabajo con organizaciones de cooperación y/o ayuda humanitaria* - *Manejo de herramientas informáticas (sistema operativo Microsoft Windows) y ofimáticas (Microsoft Office: Word, Excel, PowerPoint, Outlook).* Ofrecemos un paquete competitivo en el sector. **Nuestra Organización:** Empleamos a aproximadamente 25,000 personas en todo el mundo y trabajamos en el terreno en más de 100 países para ayudar a las niñas y niños afectados por crisis, o aquellos que necesitan mejor atención médica, educación y protección infantil. También hacemos campaña y abogamos en los niveles más altos para hacer realidad el derecho de las niñas, niños y asegurar que sus voces sean escuchadas. Estamos trabajando para lograr tres avances en cómo el mundo trata a las niñas y niños para 2030: \* Ningún niño o niña muere por causas prevenibles antes de cumplir 5 años. \* Todas las niñas y niños aprenden una educación básica de calidad y que \* Ya no se tolera la violencia contra niñas y niños. Sabemos que las grandes personas hacen una gran organización y que nuestras/os colegas desempeñan un papel crucial para ayudarnos a lograr nuestras ambiciones para las niñas y niños. Valoramos a nuestra gente y ofrecemos una carrera significativa y gratificante, junto con un lugar de trabajo colaborativo e inclusivo donde la ambición, la creatividad y la integridad son altamente valoradas. **Información para la aplicación:** Por favor, aplique utilizando una carta de presentación y un CV actualizado en un solo documento pdf. Incluya también los detalles de su remuneración actual y las expectativas salariales. Se puede encontrar una copia del perfil de rol completo en [https://www.savethechildren.net/careers/apply](https://www.savethechildren.net/careers/apply) Necesitamos mantener a los niños seguros, de modo que nuestro proceso de selección, que incluye rigurosos controles de antecedentes, reflejando nuestro compromiso con la protección de los niños contra el abuso. Se espera que todas y todos en Save the Children cumplan con sus obligaciones de acuerdo con nuestra política global contra el acoso. **Save the Children no solicita ningún pago de dinero en ninguna etapa del proceso de reclutamiento**","[""Coordination""]"
"Oficial Promoción de Salud (Estado Sucre)
**La oportunidad** E*l/La oficial de Promoción de Higiene e**n coordinación con el/la Coordinador/a de WASH y los socios implementadores, será responsable de las actividades del componente de ASH, que incluyen el diseño, la aplicación, el seguimiento y la evaluación de las actividades de promoción de higiene del proyecto en las comunidades destinatarias de la región de Sucre.* Para tener éxito traerás / tendrás: - *Mínimo 2-3 años de experiencia laboral, incluido un mínimo de 2 años de trabajo en programas humanitarios relacionados con WASH (Promoción de Higiene)* - *Experiencia previa de trabajo efectivo como parte de un equipo de proyecto WASH* - *Compromiso de trabajar a través de sistemas de participación y responsabilidad de la comunidad* - *Experiencia de trabajo con socios* - *Conocimientos de monitoreo y evaluación* - *Compromiso con el desarrollo de capacidades y el desarrollo de otros (equipo propio y socios)* - *Capacidad para escribir evaluaciones claras y bien argumentadas e informes de proyectos* - *Excelentes habilidades interpersonales, de comunicación y presentación, incluyendo influencia y negociación* - *Políticamente y culturalmente sensible con cualidades de paciencia, tacto y diplomacia.* Ofrecemos un paquete competitivo en el sector. **Nuestra Organización:** Empleamos a aproximadamente 25,000 personas en todo el mundo y trabajamos en el terreno en más de 100 países para ayudar a las niñas y niños afectados por crisis, o aquellos que necesitan mejor atención médica, educación y protección infantil. También hacemos campaña y abogamos en los niveles más altos para hacer realidad el derecho de las niñas, niños y asegurar que sus voces sean escuchadas. Estamos trabajando para lograr tres avances en cómo el mundo trata a las niñas y niños para 2030: \* Ningún niño o niña muere por causas prevenibles antes de cumplir 5 años. \* Todas las niñas y niños aprenden una educación básica de calidad y que \* Ya no se tolera la violencia contra niñas y niños. Sabemos que las grandes personas hacen una gran organización y que nuestras/os colegas desempeñan un papel crucial para ayudarnos a lograr nuestras ambiciones para las niñas y niños. Valoramos a nuestra gente y ofrecemos una carrera significativa y gratificante, junto con un lugar de trabajo colaborativo e inclusivo donde la ambición, la creatividad y la integridad son altamente valoradas. **Información para la aplicación:** Por favor, aplique utilizando una carta de presentación y un CV actualizado en un solo documento pdf. Incluya también los detalles de su remuneración actual y las expectativas salariales. Se puede encontrar una copia del perfil de rol completo en [https://www.savethechildren.net/careers/apply](https://www.savethechildren.net/careers/apply) Necesitamos mantener a los niños seguros, de modo que nuestro proceso de selección, que incluye rigurosos controles de antecedentes, reflejando nuestro compromiso con la protección de los niños contra el abuso. Se espera que todas y todos en Save the Children cumplan con sus obligaciones de acuerdo con nuestra política global contra el acoso. **Save the Children no solicita ningún pago de dinero en ninguna etapa del proceso de reclutamiento**","[""Water Sanitation Hygiene""]"
"Oficial Promoción de Salud (Estado Anzoátegui)
**La oportunidad** E*l/La oficial de Promoción de Higiene e**n coordinación con el/la Coordinador/a de WASH y los socios implementadores, será responsable de las actividades del componente de ASH, que incluyen el diseño, la aplicación, el seguimiento y la evaluación de las actividades de promoción de higiene del proyecto en las comunidades destinatarias de la región de Anzoátegui.* Para tener éxito traerás / tendrás: - *Mínimo 2-3 años de experiencia laboral, incluido un mínimo de 2 años de trabajo en programas humanitarios relacionados con WASH (Promoción de Higiene)* - *Experiencia previa de trabajo efectivo como parte de un equipo de proyecto WASH* - *Compromiso de trabajar a través de sistemas de participación y responsabilidad de la comunidad* - *Experiencia de trabajo con socios* - *Conocimientos de monitoreo y evaluación* - *Compromiso con el desarrollo de capacidades y el desarrollo de otros (equipo propio y socios)* - *Capacidad para escribir evaluaciones claras y bien argumentadas e informes de proyectos* - *Excelentes habilidades interpersonales, de comunicación y presentación, incluyendo influencia y negociación* - *Políticamente y culturalmente sensible con cualidades de paciencia, tacto y diplomacia.* Ofrecemos un paquete competitivo en el sector. **Nuestra Organización:** Empleamos a aproximadamente 25,000 personas en todo el mundo y trabajamos en el terreno en más de 100 países para ayudar a las niñas y niños afectados por crisis, o aquellos que necesitan mejor atención médica, educación y protección infantil. También hacemos campaña y abogamos en los niveles más altos para hacer realidad el derecho de las niñas, niños y asegurar que sus voces sean escuchadas. Estamos trabajando para lograr tres avances en cómo el mundo trata a las niñas y niños para 2030: \* Ningún niño o niña muere por causas prevenibles antes de cumplir 5 años. \* Todas las niñas y niños aprenden una educación básica de calidad y que \* Ya no se tolera la violencia contra niñas y niños. Sabemos que las grandes personas hacen una gran organización y que nuestras/os colegas desempeñan un papel crucial para ayudarnos a lograr nuestras ambiciones para las niñas y niños. Valoramos a nuestra gente y ofrecemos una carrera significativa y gratificante, junto con un lugar de trabajo colaborativo e inclusivo donde la ambición, la creatividad y la integridad son altamente valoradas. **Información para la aplicación:** Por favor, aplique utilizando una carta de presentación y un CV actualizado en un solo documento pdf. Incluya también los detalles de su remuneración actual y las expectativas salariales. Se puede encontrar una copia del perfil de rol completo en [https://www.savethechildren.net/careers/apply](https://www.savethechildren.net/careers/apply) Necesitamos mantener a los niños seguros, de modo que nuestro proceso de selección, que incluye rigurosos controles de antecedentes, reflejando nuestro compromiso con la protección de los niños contra el abuso. Se espera que todas y todos en Save the Children cumplan con sus obligaciones de acuerdo con nuestra política global contra el acoso. **Save the Children no solicita ningún pago de dinero en ninguna etapa del proceso de reclutamiento**","[""Water Sanitation Hygiene""]"
"Ingeniero WASH (Estado Anzoátegui)
**La oportunidad** El/La Ingeniero ASH garantizará que se desarrollen todas las actividades relativas a WASH enfocadas en resiliencia comunitaria y empoderamiento de las comunidades, desde la evaluación, diseño, coordinación, la adquisición hasta la supervisión y contribución a informes. Las actividades WASH enfocadas en rehabilitaciones, construcción y/o desarrollo de infraestructura en agua y saneamiento serán responsabilidad del ingeniero ASH, que entrará en otra etapa de este proyecto. Para tener éxito traerás / tendrás: - Diploma técnico en el sector de la Ingeniería en Construcción, Hidráulico o Ambiental o licenciatura en Gestión de Riesgos - Experiencia profesional de 2 años como mínimo en el sector de agua, saneamiento e higiene. - Capacidades de organización, coordinación y planificación - Experiencia en Implementación de proyectos de Agua, Saneamiento e Higiene (WASH) - Conocimientos informáticos en Microsoft Office (Excel, Word y Power Point) - Se valorará fluidez en Inglés, escrito y hablado Ofrecemos un paquete competitivo en el sector. **Nuestra Organización:** Empleamos a aproximadamente 25,000 personas en todo el mundo y trabajamos en el terreno en más de 100 países para ayudar a las niñas y niños afectados por crisis, o aquellos que necesitan mejor atención médica, educación y protección infantil. También hacemos campaña y abogamos en los niveles más altos para hacer realidad el derecho de las niñas, niños y asegurar que sus voces sean escuchadas. Estamos trabajando para lograr tres avances en cómo el mundo trata a las niñas y niños para 2030: \* Ningún niño o niña muere por causas prevenibles antes de cumplir 5 años. \* Todas las niñas y niños aprenden una educación básica de calidad y que \* Ya no se tolera la violencia contra niñas y niños. Sabemos que las grandes personas hacen una gran organización y que nuestras/os colegas desempeñan un papel crucial para ayudarnos a lograr nuestras ambiciones para las niñas y niños. Valoramos a nuestra gente y ofrecemos una carrera significativa y gratificante, junto con un lugar de trabajo colaborativo e inclusivo donde la ambición, la creatividad y la integridad son altamente valoradas. **Información para la aplicación:** Por favor, aplique utilizando una carta de presentación y un CV actualizado en un solo documento pdf. Incluya también los detalles de su remuneración actual y las expectativas salariales. Se puede encontrar una copia del perfil de rol completo en [https://www.savethechildren.net/careers/apply](https://www.savethechildren.net/careers/apply) Necesitamos mantener a los niños seguros, de modo que nuestro proceso de selección, que incluye rigurosos controles de antecedentes, reflejando nuestro compromiso con la protección de los niños contra el abuso. Se espera que todas y todos en Save the Children cumplan con sus obligaciones de acuerdo con nuestra política global contra el acoso. **Save the Children no solicita ningún pago de dinero en ninguna etapa del proceso de reclutamiento**","[""Water Sanitation Hygiene""]"
"Oficial de Nutrición (Estado Sucre)
**La oportunidad** El titular del puesto será responsable de coordinar la implementación de actividades en la parte de Alimentación del Lactante y del Niño y de la Niña Pequeña (ALNP) (también conocido por sus siglas en inglés IYCF (""Infant and Young Child Feeding""), CMAM (manejo comunitario de la desnutrición aguda), dentro del Programa de nutrición y protección en comunidades del Estado Sucre. Para tener éxito traerás / tendrás: - Educación universitaria en Pediatría, Nutrición o un tema relacionado, o experiencia de campo equivalente. - Al menos 3 años de experiencia en las áreas de nutrición y programación en programas comunitarios, salud pública, programación de seguridad alimentaria de emergencia o medios de subsistencia. - Experiencia en Nutrición, incluyendo IYCF (Infant and Young Child Feeding) - ALNP (Alimentación del Lactante y Niño/a Pequeño/a), CMAM (manejo comunitario de la desnutrición aguda). - Conocimientos informáticos en Microsoft Office (Excel, Word y Power Point). - Se valorará fluidez en inglés, escrito y hablado (no indispensable). Ofrecemos un paquete competitivo en el sector. **Nuestra Organización:** Empleamos a aproximadamente 25,000 personas en todo el mundo y trabajamos en el terreno en más de 100 países para ayudar a las niñas y niños afectados por crisis, o aquellos que necesitan mejor atención médica, educación y protección infantil. También hacemos campaña y abogamos en los niveles más altos para hacer realidad el derecho de las niñas, niños y asegurar que sus voces sean escuchadas. Estamos trabajando para lograr tres avances en cómo el mundo trata a las niñas y niños para 2030: \* Ningún niño o niña muere por causas prevenibles antes de cumplir 5 años. \* Todas las niñas y niños aprenden una educación básica de calidad y que \* Ya no se tolera la violencia contra niñas y niños. Sabemos que las grandes personas hacen una gran organización y que nuestras/os colegas desempeñan un papel crucial para ayudarnos a lograr nuestras ambiciones para las niñas y niños. Valoramos a nuestra gente y ofrecemos una carrera significativa y gratificante, junto con un lugar de trabajo colaborativo e inclusivo donde la ambición, la creatividad y la integridad son altamente valoradas. **Información para la aplicación:** Por favor, aplique utilizando una carta de presentación y un CV actualizado en un solo documento pdf. Incluya también los detalles de su remuneración actual y las expectativas salariales. Se puede encontrar una copia del perfil de rol completo en [https://www.savethechildren.net/careers/apply](https://www.savethechildren.net/careers/apply) Necesitamos mantener a los niños seguros, de modo que nuestro proceso de selección, que incluye rigurosos controles de antecedentes, reflejando nuestro compromiso con la protección de los niños contra el abuso. Se espera que todas y todos en Save the Children cumplan con sus obligaciones de acuerdo con nuestra política global contra el acoso. **Save the Children no solicita ningún pago de dinero en ninguna etapa del proceso de reclutamiento**","[""Food and Nutrition""]"
